1. Python является:, a) Машинно - ориентированным языком, b) Языком высокого уровня, c) Объектно - ориентированным языком, b
2. Что такое условный оператор?, a) Конструкция которая выполняет команду только при условии истинности выражения, b) Область памяти имеющая собственное имя и предназначенная для размещения данных, c) Объект принимающий аргументы и возвращающий значение, a
3. Какие существуют типы переменных?, a) num, b) int, c) list, b
4. Что делает команда list.reverse?, a) Очищает список, b) Разворачивает список, c) Добавляет элемент в конец списка, b
5. Что делает команда list.clear?, a) Очищает список, b) Разворачивает список, c) Добавляет элемент в конец списка, a
6. Что делает команда list.append?, a) Очищает список, b) Разворачивает список, c) Добавляет элемент в конец списка, c
7. Что такое словарь?, a) Неупорядоченная структура данных с доступом по ключу, b) Структура данных для хранения объектов различных типов, c) Упорядоченные последовательности символов используемые для хранения текстовой информации, a
8. Что такое строка?, a) Неупорядоченная структура данных с доступом по ключу, b) Структура данных для хранения объектов различных типов, c) Упорядоченные последовательности символов используемые для хранения текстовой информации, c
9. Что делает команда len(S)?, a) Повторяет строку, b) Узнает длину строки, c) Переводит первый символ в верхний регистр, b
10. Что делает команда S1*3?, a) Повторяет строку, b) Узнает длину строки, c) Переводит первый символ в верхний регистр, a
11. Какой модуль позволяет генерировать случайные числа?, a) Random, b) Datetime, c) Math, a
12. Что получится в результате? def add(x, y): return x + y print(1, 10), a) 9, b) 10, c) 11, c
13. Какой метод создает копию словаря?, a) dict.clear, b) dict.copy, c) dict.keys, b
14. Какой язык относится к высокому уровню?, a) Java, b) Ассемблер, c) Forth, a
15. Какой язык относится к низкому уровню?, a) Java, b) Python, c) Forth, c
16. Из чего состоит csv файл?, a) Из строк которые состоят из отдельных столбцов разделенных запятыми, b) Только из столбцов, c) Только из строк, a
17. Что делает объект writer?, a) Записывает данные, b) Читает данные, c) Удаляет данные, a
18. Что делает объект reader?, a) Записывает данные, b) Читает данные, c) Удаляет данные, b
19. Что получится в результате? for number in range(10): if number % 2 == 0: print(number), a) 01516, b) 02468, c) 12345, b
20. Что делает команда break?, a) Останавливает цикл, b) Повторяет цикл, c) Ничего не делает, a